[29-Mar-2019 07:40:16 UTC] PHP Parse error:  syntax error, unexpected '$args' (T_VARIABLE) in C:\Users\admin\whs-pdo\src\routes.php on line 31
[29-Mar-2019 07:40:28 UTC] PHP Parse error:  syntax error, unexpected 'return' (T_RETURN) in C:\Users\admin\whs-pdo\src\routes.php on line 32
[29-Mar-2019 07:41:17 UTC] PHP Parse error:  syntax error, unexpected '$search' (T_VARIABLE) in C:\Users\admin\whs-pdo\src\routes.php on line 24
[29-Mar-2019 07:57:33 UTC] PHP Notice:  Undefined variable: db in C:\Users\admin\whs-pdo\src\routes.php on line 25
[29-Mar-2019 07:57:52 UTC] PHP Notice:  Undefined variable: query in C:\Users\admin\whs-pdo\src\routes.php on line 26
[29-Mar-2019 07:59:48 UTC] PHP Notice:  Undefined variable: query in C:\Users\admin\whs-pdo\src\routes.php on line 26
[29-Mar-2019 08:00:12 UTC] PHP Notice:  Undefined variable: query in C:\Users\admin\whs-pdo\src\routes.php on line 26
[29-Mar-2019 08:00:13 UTC] PHP Notice:  Undefined variable: query in C:\Users\admin\whs-pdo\src\routes.php on line 26
[29-Mar-2019 08:00:54 UTC] PHP Notice:  Undefined variable: result in C:\Users\admin\whs-pdo\src\routes.php on line 30
[29-Mar-2019 08:13:52 UTC] PHP Parse error:  syntax error, unexpected 'return' (T_RETURN) in C:\Users\admin\whs-pdo\src\routes.php on line 34
[29-Mar-2019 08:14:00 UTC] PHP Parse error:  syntax error, unexpected '}' in C:\Users\admin\whs-pdo\src\routes.php on line 35
[29-Mar-2019 08:14:01 UTC] PHP Parse error:  syntax error, unexpected '}' in C:\Users\admin\whs-pdo\src\routes.php on line 35
[29-Mar-2019 08:23:24 UTC] PHP Parse error:  syntax error, unexpected 'public' (T_PUBLIC) in C:\Users\admin\whs-pdo\src\dependencies.php on line 27
[29-Mar-2019 08:27:06 UTC] PHP Parse error:  syntax error, unexpected '__construct' (T_STRING), expecting variable (T_VARIABLE) or '$' in C:\Users\admin\whs-pdo\src\dependencies.php on line 27
[29-Mar-2019 08:27:19 UTC] PHP Parse error:  syntax error, unexpected '__construct' (T_STRING), expecting variable (T_VARIABLE) or '$' in C:\Users\admin\whs-pdo\src\dependencies.php on line 27
[29-Mar-2019 08:27:20 UTC] PHP Parse error:  syntax error, unexpected '__construct' (T_STRING), expecting variable (T_VARIABLE) or '$' in C:\Users\admin\whs-pdo\src\dependencies.php on line 27
[29-Mar-2019 08:27:20 UTC] PHP Parse error:  syntax error, unexpected '__construct' (T_STRING), expecting variable (T_VARIABLE) or '$' in C:\Users\admin\whs-pdo\src\dependencies.php on line 27
[29-Mar-2019 08:27:21 UTC] PHP Parse error:  syntax error, unexpected '__construct' (T_STRING), expecting variable (T_VARIABLE) or '$' in C:\Users\admin\whs-pdo\src\dependencies.php on line 27
[29-Mar-2019 08:27:21 UTC] PHP Parse error:  syntax error, unexpected '__construct' (T_STRING), expecting variable (T_VARIABLE) or '$' in C:\Users\admin\whs-pdo\src\dependencies.php on line 27
[29-Mar-2019 08:27:21 UTC] PHP Parse error:  syntax error, unexpected '__construct' (T_STRING), expecting variable (T_VARIABLE) or '$' in C:\Users\admin\whs-pdo\src\dependencies.php on line 27
[29-Mar-2019 08:27:21 UTC] PHP Parse error:  syntax error, unexpected '__construct' (T_STRING), expecting variable (T_VARIABLE) or '$' in C:\Users\admin\whs-pdo\src\dependencies.php on line 27
[29-Mar-2019 08:27:21 UTC] PHP Parse error:  syntax error, unexpected '__construct' (T_STRING), expecting variable (T_VARIABLE) or '$' in C:\Users\admin\whs-pdo\src\dependencies.php on line 27
[29-Mar-2019 08:27:22 UTC] PHP Parse error:  syntax error, unexpected '__construct' (T_STRING), expecting variable (T_VARIABLE) or '$' in C:\Users\admin\whs-pdo\src\dependencies.php on line 27
[29-Mar-2019 08:27:22 UTC] PHP Parse error:  syntax error, unexpected '__construct' (T_STRING), expecting variable (T_VARIABLE) or '$' in C:\Users\admin\whs-pdo\src\dependencies.php on line 27
[29-Mar-2019 08:27:22 UTC] PHP Parse error:  syntax error, unexpected '__construct' (T_STRING), expecting variable (T_VARIABLE) or '$' in C:\Users\admin\whs-pdo\src\dependencies.php on line 27
[29-Mar-2019 08:27:22 UTC] PHP Parse error:  syntax error, unexpected '__construct' (T_STRING), expecting variable (T_VARIABLE) or '$' in C:\Users\admin\whs-pdo\src\dependencies.php on line 27
[29-Mar-2019 08:27:22 UTC] PHP Parse error:  syntax error, unexpected '__construct' (T_STRING), expecting variable (T_VARIABLE) or '$' in C:\Users\admin\whs-pdo\src\dependencies.php on line 27
[29-Mar-2019 08:27:22 UTC] PHP Parse error:  syntax error, unexpected '__construct' (T_STRING), expecting variable (T_VARIABLE) or '$' in C:\Users\admin\whs-pdo\src\dependencies.php on line 27
[29-Mar-2019 08:27:23 UTC] PHP Parse error:  syntax error, unexpected '__construct' (T_STRING), expecting variable (T_VARIABLE) or '$' in C:\Users\admin\whs-pdo\src\dependencies.php on line 27
[29-Mar-2019 08:27:23 UTC] PHP Parse error:  syntax error, unexpected '__construct' (T_STRING), expecting variable (T_VARIABLE) or '$' in C:\Users\admin\whs-pdo\src\dependencies.php on line 27
[29-Mar-2019 08:27:23 UTC] PHP Parse error:  syntax error, unexpected '__construct' (T_STRING), expecting variable (T_VARIABLE) or '$' in C:\Users\admin\whs-pdo\src\dependencies.php on line 27
[29-Mar-2019 08:27:23 UTC] PHP Parse error:  syntax error, unexpected '__construct' (T_STRING), expecting variable (T_VARIABLE) or '$' in C:\Users\admin\whs-pdo\src\dependencies.php on line 27
[29-Mar-2019 08:27:24 UTC] PHP Parse error:  syntax error, unexpected '__construct' (T_STRING), expecting variable (T_VARIABLE) or '$' in C:\Users\admin\whs-pdo\src\dependencies.php on line 27
[29-Mar-2019 08:27:24 UTC] PHP Parse error:  syntax error, unexpected '__construct' (T_STRING), expecting variable (T_VARIABLE) or '$' in C:\Users\admin\whs-pdo\src\dependencies.php on line 27
[29-Mar-2019 08:27:24 UTC] PHP Parse error:  syntax error, unexpected '__construct' (T_STRING), expecting variable (T_VARIABLE) or '$' in C:\Users\admin\whs-pdo\src\dependencies.php on line 27
[29-Mar-2019 08:27:24 UTC] PHP Parse error:  syntax error, unexpected '__construct' (T_STRING), expecting variable (T_VARIABLE) or '$' in C:\Users\admin\whs-pdo\src\dependencies.php on line 27
[29-Mar-2019 08:27:24 UTC] PHP Parse error:  syntax error, unexpected '__construct' (T_STRING), expecting variable (T_VARIABLE) or '$' in C:\Users\admin\whs-pdo\src\dependencies.php on line 27
[29-Mar-2019 08:27:24 UTC] PHP Parse error:  syntax error, unexpected '__construct' (T_STRING), expecting variable (T_VARIABLE) or '$' in C:\Users\admin\whs-pdo\src\dependencies.php on line 27
[29-Mar-2019 08:27:30 UTC] PHP Parse error:  syntax error, unexpected '__construct' (T_STRING), expecting variable (T_VARIABLE) or '$' in C:\Users\admin\whs-pdo\src\dependencies.php on line 27
[29-Mar-2019 08:27:30 UTC] PHP Parse error:  syntax error, unexpected '__construct' (T_STRING), expecting variable (T_VARIABLE) or '$' in C:\Users\admin\whs-pdo\src\dependencies.php on line 27
[29-Mar-2019 08:27:30 UTC] PHP Parse error:  syntax error, unexpected '__construct' (T_STRING), expecting variable (T_VARIABLE) or '$' in C:\Users\admin\whs-pdo\src\dependencies.php on line 27
[29-Mar-2019 08:27:31 UTC] PHP Parse error:  syntax error, unexpected '__construct' (T_STRING), expecting variable (T_VARIABLE) or '$' in C:\Users\admin\whs-pdo\src\dependencies.php on line 27
[29-Mar-2019 08:27:31 UTC] PHP Parse error:  syntax error, unexpected '__construct' (T_STRING), expecting variable (T_VARIABLE) or '$' in C:\Users\admin\whs-pdo\src\dependencies.php on line 27
[29-Mar-2019 08:27:31 UTC] PHP Parse error:  syntax error, unexpected '__construct' (T_STRING), expecting variable (T_VARIABLE) or '$' in C:\Users\admin\whs-pdo\src\dependencies.php on line 27
[29-Mar-2019 08:27:32 UTC] PHP Parse error:  syntax error, unexpected '__construct' (T_STRING), expecting variable (T_VARIABLE) or '$' in C:\Users\admin\whs-pdo\src\dependencies.php on line 27
[29-Mar-2019 08:27:32 UTC] PHP Parse error:  syntax error, unexpected '__construct' (T_STRING), expecting variable (T_VARIABLE) or '$' in C:\Users\admin\whs-pdo\src\dependencies.php on line 27
[29-Mar-2019 08:27:51 UTC] PHP Parse error:  syntax error, unexpected '__construct' (T_STRING), expecting variable (T_VARIABLE) or '$' in C:\Users\admin\whs-pdo\src\dependencies.php on line 27
[29-Mar-2019 08:27:51 UTC] PHP Parse error:  syntax error, unexpected '__construct' (T_STRING), expecting variable (T_VARIABLE) or '$' in C:\Users\admin\whs-pdo\src\dependencies.php on line 27
[29-Mar-2019 08:27:52 UTC] PHP Parse error:  syntax error, unexpected '__construct' (T_STRING), expecting variable (T_VARIABLE) or '$' in C:\Users\admin\whs-pdo\src\dependencies.php on line 27
[29-Mar-2019 08:27:52 UTC] PHP Parse error:  syntax error, unexpected '__construct' (T_STRING), expecting variable (T_VARIABLE) or '$' in C:\Users\admin\whs-pdo\src\dependencies.php on line 27
[29-Mar-2019 08:27:53 UTC] PHP Parse error:  syntax error, unexpected '__construct' (T_STRING), expecting variable (T_VARIABLE) or '$' in C:\Users\admin\whs-pdo\src\dependencies.php on line 27
[29-Mar-2019 08:27:53 UTC] PHP Parse error:  syntax error, unexpected '__construct' (T_STRING), expecting variable (T_VARIABLE) or '$' in C:\Users\admin\whs-pdo\src\dependencies.php on line 27
[29-Mar-2019 08:27:53 UTC] PHP Parse error:  syntax error, unexpected '__construct' (T_STRING), expecting variable (T_VARIABLE) or '$' in C:\Users\admin\whs-pdo\src\dependencies.php on line 27
[29-Mar-2019 08:27:53 UTC] PHP Parse error:  syntax error, unexpected '__construct' (T_STRING), expecting variable (T_VARIABLE) or '$' in C:\Users\admin\whs-pdo\src\dependencies.php on line 27
[29-Mar-2019 08:27:53 UTC] PHP Parse error:  syntax error, unexpected '__construct' (T_STRING), expecting variable (T_VARIABLE) or '$' in C:\Users\admin\whs-pdo\src\dependencies.php on line 27
[29-Mar-2019 08:27:53 UTC] PHP Parse error:  syntax error, unexpected '__construct' (T_STRING), expecting variable (T_VARIABLE) or '$' in C:\Users\admin\whs-pdo\src\dependencies.php on line 27
[29-Mar-2019 08:27:54 UTC] PHP Parse error:  syntax error, unexpected '__construct' (T_STRING), expecting variable (T_VARIABLE) or '$' in C:\Users\admin\whs-pdo\src\dependencies.php on line 27
[29-Mar-2019 08:29:50 UTC] PHP Warning:  Use of undefined constant lol - assumed 'lol' (this will throw an Error in a future version of PHP) in C:\Users\admin\whs-pdo\src\routes.php on line 24
[29-Mar-2019 08:35:44 UTC] PHP Parse error:  syntax error, unexpected '*' in C:\Users\admin\whs-pdo\src\routes.php on line 27
[29-Mar-2019 08:35:52 UTC] PHP Notice:  Undefined variable: result in C:\Users\admin\whs-pdo\src\routes.php on line 25
[29-Mar-2019 08:35:58 UTC] PHP Notice:  Undefined variable: result in C:\Users\admin\whs-pdo\src\routes.php on line 25
[29-Mar-2019 08:35:59 UTC] PHP Notice:  Undefined variable: result in C:\Users\admin\whs-pdo\src\routes.php on line 25
[29-Mar-2019 08:36:05 UTC] PHP Notice:  Undefined variable: result in C:\Users\admin\whs-pdo\src\routes.php on line 25
[29-Mar-2019 09:02:59 UTC] PHP Warning:  Illegal string offset 'host' in C:\Users\admin\whs-pdo\src\includes\Assertion.php on line 13
[29-Mar-2019 09:02:59 UTC] PHP Warning:  Illegal string offset 'dbname' in C:\Users\admin\whs-pdo\src\includes\Assertion.php on line 13
[29-Mar-2019 09:02:59 UTC] PHP Warning:  Illegal string offset 'user' in C:\Users\admin\whs-pdo\src\includes\Assertion.php on line 13
[29-Mar-2019 09:02:59 UTC] PHP Warning:  Illegal string offset 'password' in C:\Users\admin\whs-pdo\src\includes\Assertion.php on line 13
[29-Mar-2019 09:03:30 UTC] PHP Parse error:  syntax error, unexpected 'search' (T_STRING), expecting variable (T_VARIABLE) or '$' in C:\Users\admin\whs-pdo\src\routes.php on line 21
[29-Mar-2019 09:03:31 UTC] PHP Parse error:  syntax error, unexpected 'search' (T_STRING), expecting variable (T_VARIABLE) or '$' in C:\Users\admin\whs-pdo\src\routes.php on line 21
[29-Mar-2019 09:03:59 UTC] PHP Parse error:  syntax error, unexpected 'search' (T_STRING), expecting variable (T_VARIABLE) or '$' in C:\Users\admin\whs-pdo\src\routes.php on line 21
[29-Mar-2019 09:03:59 UTC] PHP Parse error:  syntax error, unexpected 'search' (T_STRING), expecting variable (T_VARIABLE) or '$' in C:\Users\admin\whs-pdo\src\routes.php on line 21
[29-Mar-2019 09:05:35 UTC] PHP Warning:  Illegal string offset 'host' in C:\Users\admin\whs-pdo\src\includes\Assertion.php on line 13
[29-Mar-2019 09:05:35 UTC] PHP Warning:  Illegal string offset 'dbname' in C:\Users\admin\whs-pdo\src\includes\Assertion.php on line 13
[29-Mar-2019 09:05:35 UTC] PHP Warning:  Illegal string offset 'user' in C:\Users\admin\whs-pdo\src\includes\Assertion.php on line 13
[29-Mar-2019 09:05:35 UTC] PHP Warning:  Illegal string offset 'password' in C:\Users\admin\whs-pdo\src\includes\Assertion.php on line 13
[29-Mar-2019 09:06:13 UTC] PHP Parse error:  syntax error, unexpected 'search' (T_STRING), expecting variable (T_VARIABLE) or '$' in C:\Users\admin\whs-pdo\src\routes.php on line 21
